Material Number,Description (en),Availability,GTIN (Barcode),Net price,Currency,Brand,Division,Division Name,Part Classification,Discount Group,Back in Stock,Stock Quantity,Material Status,Make to order (in days),Launch Date,Phaseout Date,Substitution,Trade Name,Commodity Code,Country of Origin,Dangerous Goods,Shipping Unit,Sales Package Quantity,Palette Unit,Packing Units,Base Quantity Unit,Gross Weight,Net Weight,Weight Unit,Dimension Length,Dimension Height,Dimension Width,Dimension Unit
0600833108,Cordless Grass Shear ISIO3,A,3165140630689,961.89,ZAR,Bosch,73,Garden,T,,,2,Z7,,,,,Isio,846729907,HU,3481,1,1,180,ST;PAL;DG,ST,1.245,0.316,KG,305,110,145,MM
0600861900,Cordl Reciprocating Saw KEO,A,3165140602914,1567.98,ZAR,Bosch,73,Garden,T,,,15,Z7,,,,,KEO 10 8 Li,846722007,HU,3481,1,,132,ST;PAL;DG,ST,1.545,1.050,KG,399,70,200,MM
0600861A01,KEO 18 LI (Baretool) EU,A,3165140925914,1354.07,ZAR,Bosch,73,Garden,T,,,11,Z5,,,,,KEO,846722007,HU,,1,1,96,ST;PAL,ST,1.580,1.100,KG,310,155,175,MM
06008A6500,Lawnmower UniversalRotak 37-550,C,4053423322064,2067.11,ZAR,Bosch,73,Garden,T,,,0,Z5,,,,,UniversalRotak 37-55,843311100,CN,,1,1,9,ST;SLS;PA,ST,15.500,13.100,KG,610,375,400,MM
06008B6101,Fontus gen. 2 (1x2 5 Ah),A,4059952547909,3564.51,ZAR,Bosch,73,Garden,T,,,10,Z5,,,,,Fontus 18V,842489007,CN,3481,1,1,6,ST;SLS;PA,ST,10.100,9.430,KG,687,343,403,MM
06008B7200,Window Cleaner GlassVAC Solo Plus,A,3165140976374,926.25,ZAR,Bosch,72,Green DIY,T,,,9,Z5,,,,,GlassVAC Solo Plus,850811900,CN,3481,1,1,70,ST;PAL;DG,ST,0.700,0.700,KG,162,222,96,MM
06008B9J00,Lawnmower AdvancedRotak 44-750,A,4059952658148,4705.37,ZAR,Bosch,73,Garden,T,,,5,Z5,,,09.30.2026,,AdvancedRotak 44-750,843311100,HU,,1,1,4,ST;PAL;1,ST,18.610,16.000,KG,760,455,490,MM
06008C4203,GardenPump 18V-2000 (BT) (Classic Green),A,4059952617541,1211.46,ZAR,Bosch,73,Garden,T,,,17,Z5,,,,,GardenPump 18V-2000,841381007,CN,,1,1,64,ST;SLS;PA,ST,2.800,1.900,KG,295,280,190,MM
06008C5002,Long handle pruning shear AdvPrune 18-45,A,4059952584614,2566.25,ZAR,Bosch,73,Garden,T,,,18,Z5,,,,,AdvancedPrune 18V-45,820160000,CN,,1,1,35,ST;SLS;PA,ST,3.800,2.750,KG,948,111,149,MM
06008D1000,Brushcutter GFR 18V-23 BT,A,4059952654874,3564.51,ZAR,Bosch,73,Garden,T,,,10,Z5,,,,,GFR 18V-23,846729907,CN,,1,1,25,ST;SLS;PA,ST,6.760,3.600,KG,1625,136,220,MM
06008D6000,Pole Pruner GKE 18V-25T BT,C,4059952688305,3921.03,ZAR,Bosch,73,Garden,T,,,0,Z5,,,,,GKE 18V-25 TP,846722007,CN,,1,1,16,ST;SLS;PA,ST,7.310,5.200,KG,1192,190,195,MM
0601015400,Light Receiver LR 1,A,3165140486965,2352.33,ZAR,Bosch,82,Measuring Tools,T,,,1,Z5,,,,,LR 1,901530009,MY,,1,1,108,ST;PAL;LU,ST,0.697,0.200,KG,202,82,133,MM
0601015A01,MOUNTING TOOL (BM1),A,3165140781893,854.94,ZAR,Bosch,82,Measuring Tools,A,,,8,Z5,,,,,,901590006,CN,,1,1,144,ST;SLS;PA,ST,1.146,0.861,KG,231,103,176,MM
0601049603,Drill GBM 13 HRE,A,3165140261678,7129.72,ZAR,Bosch,71,Professional,T,,,21,Z5,,,,,GBM 13 HRE,846721000,DE,,1,,84,ST;PLA;PA,ST,2.973,2.691,KG,340,80,250,MM
0601061501,GRL 300HV + LR1 + WM4 + RC1,C,3165140578714,9981.89,ZAR,Bosch,82,Measuring Tools,T,,,0,Z5,,,,,GRL 300 HV,901530009,MY,,1,1,12,ST;SLS;PA,ST,8.345,1.470,KG,507,237,420,MM
